,Awards,Nominated_BAFTA,Winner_BAFTA,Winner_OSCAR,Nominated_OSCAR,Winner_Emmy,Nominated_Emmy,Winner_Globes,Nominated_Globes,Awards_Won,Nominations
136,3 wins & 11 nominations.,0,0,0,0,0,0,0,0,3,11
137,4 wins & 7 nominations.,0,0,0,0,0,0,0,0,4,7
138,6 wins & 11 nominations.,0,0,0,0,0,0,0,0,6,11
139,nominated for 1 oscar. another 7 wins & 42 nominations.,0,0,0,1,0,0,0,0,7,42
140,nominated for 1 oscar. another 34 wins & 75 nominations.,0,0,0,1,0,0,0,0,34,75
141,won 3 oscars. another 92 wins & 150 nominations.,0,0,3,0,0,0,0,0,92,150
142,nominated for 3 oscars. another 46 wins & 87 nominations.,0,0,0,3,0,0,0,0,46,87
143,20 wins & 35 nominations.,0,0,0,0,0,0,0,0,20,35
144,11 wins & 21 nominations.,0,0,0,0,0,0,0,0,11,21
145,nominated for 3 oscars. another 34 wins & 88 nominations.,0,0,0,3,0,0,0,0,34,88
146,22 wins & 68 nominations.,0,0,0,0,0,0,0,0,22,68
147,32 wins & 86 nominations.,0,0,0,0,0,0,0,0,32,86
148,8 wins & 19 nominations.,0,0,0,0,0,0,0,0,8,19
149,nominated for 1 oscar. another 13 wins & 26 nominations.,0,0,0,1,0,0,0,0,13,26
150,11 wins & 62 nominations.,0,0,0,0,0,0,0,0,11,62
151,7 wins & 12 nominations.,0,0,0,0,0,0,0,0,7,12
152,3 wins & 9 nominations.,0,0,0,0,0,0,0,0,3,9
153,nominated for 2 primetime emmys. another 1 win & 1 nomination.,0,0,0,0,0,2,0,0,1,1
154,9 wins & 2 nominations.,0,0,0,0,0,0,0,0,9,2
155,won 1 primetime emmy. another 2 wins & 20 nominations.,0,0,0,0,1,0,0,0,2,20
156,nominated for 1 primetime emmy. another 1 win & 26 nominations.,0,0,0,0,0,1,0,0,1,26
157,3 wins & 13 nominations.,0,0,0,0,0,0,0,0,3,13
158,6 wins & 13 nominations.,0,0,0,0,0,0,0,0,6,13
159,10 wins & 5 nominations.,0,0,0,0,0,0,0,0,10,5
160,won 1 primetime emmy. another 3 wins & 11 nominations.,0,0,0,0,1,0,0,0,3,11
161,2 wins & 27 nominations.,0,0,0,0,0,0,0,0,2,27
162,won 1 primetime emmy. another 4 nominations.,0,0,0,0,1,0,0,0,0,4
163,13 wins & 5 nominations.,0,0,0,0,0,0,0,0,13,5
164,4 wins & 16 nominations.,0,0,0,0,0,0,0,0,4,16
165,nominated for 1 primetime emmy. another 3 nominations.,0,0,0,0,0,1,0,0,0,3
166,won 2 primetime emmys. another 2 nominations.,0,0,0,0,2,0,0,0,0,2
167,won 1 oscar. another 13 wins & 7 nominations.,0,0,1,0,0,0,0,0,13,7
168,won 3 golden globes. another 13 wins & 19 nominations.,0,0,0,0,0,0,3,0,13,19
169,won 18 primetime emmys. another 16 wins & 60 nominations.,0,0,0,0,18,0,0,0,16,60
170,nominated for 1 golden globe. another 4 wins & 5 nominations.,0,0,0,0,0,0,0,1,4,5
171,5 wins & 16 nominations.,0,0,0,0,0,0,0,0,5,16
172,6 wins & 5 nominations.,0,0,0,0,0,0,0,0,6,5
173,won 3 primetime emmys. another 34 wins & 89 nominations.,0,0,0,0,3,0,0,0,34,89
174,nominated for 3 oscars. another 19 wins & 40 nominations.,0,0,0,3,0,0,0,0,19,40
175,nominated for 1 oscar. another 5 wins & 41 nominations.,0,0,0,1,0,0,0,0,5,41
176,7 wins & 42 nominations.,0,0,0,0,0,0,0,0,7,42
177,nominated for 1 oscar. another 8 wins & 58 nominations.,0,0,0,1,0,0,0,0,8,58
178,won 1 oscar. another 39 wins & 134 nominations.,0,0,1,0,0,0,0,0,39,134
179,3 wins & 23 nominations.,0,0,0,0,0,0,0,0,3,23
180,5 wins & 28 nominations.,0,0,0,0,0,0,0,0,5,28
181,2 wins & 21 nominations.,0,0,0,0,0,0,0,0,2,21
182,2 wins & 16 nominations.,0,0,0,0,0,0,0,0,2,16
183,nominated for 2 golden globes. another 20 wins & 52 nominations.,0,0,0,0,0,0,0,2,20,52
184,nominated for 2 oscars. another 4 wins & 17 nominations.,0,0,0,2,0,0,0,0,4,17
185,1 win & 23 nominations.,0,0,0,0,0,0,0,0,1,23
186,1 win & 10 nominations.,0,0,0,0,0,0,0,0,1,10
187,nominated for 1 oscar. another 17 wins & 53 nominations.,0,0,0,1,0,0,0,0,17,53
188,won 2 oscars. another 44 wins & 74 nominations.,0,0,2,0,0,0,0,0,44,74
189,nominated for 1 oscar. another 6 wins & 46 nominations.,0,0,0,1,0,0,0,0,6,46
190,2 wins & 11 nominations.,0,0,0,0,0,0,0,0,2,11
191,nominated for 1 bafta film award. another 9 wins & 54 nominations.,1,0,0,0,0,0,0,0,9,54
192,won 7 oscars. another 215 wins & 169 nominations.,0,0,7,0,0,0,0,0,215,169
193,nominated for 1 oscar. another 70 wins & 59 nominations.,0,0,0,1,0,0,0,0,70,59
194,4 wins & 10 nominations.,0,0,0,0,0,0,0,0,4,10
195,nominated for 1 oscar. another 9 wins & 40 nominations.,0,0,0,1,0,0,0,0,9,40
196,nominated for 3 primetime emmys. another 14 nominations.,0,0,0,0,0,3,0,0,0,14
197,5 wins & 31 nominations.,0,0,0,0,0,0,0,0,5,31
198,11 wins & 34 nominations.,0,0,0,0,0,0,0,0,11,34
199,nominated for 1 oscar. another 13 wins & 59 nominations.,0,0,0,1,0,0,0,0,13,59
200,nominated for 1 bafta film award. another 5 wins & 42 nominations.,1,0,0,0,0,0,0,0,5,42
201,nominated for 2 oscars. another 12 wins & 63 nominations.,0,0,0,2,0,0,0,0,12,63
202,14 wins.,0,0,0,0,0,0,0,0,14,0
203,nominated for 1 oscar. another 5 wins & 49 nominations.,0,0,0,1,0,0,0,0,5,49
204,18 wins & 22 nominations.,0,0,0,0,0,0,0,0,18,22
205,won 2 golden globes. another 25 wins & 162 nominations.,0,0,0,0,0,0,2,0,25,162
206,1 win & 11 nominations.,0,0,0,0,0,0,0,0,1,11
207,nominated for 1 oscar. another 11 wins & 21 nominations.,0,0,0,1,0,0,0,0,11,21
208,3 wins & 29 nominations.,0,0,0,0,0,0,0,0,3,29
209,nominated for 1 oscar. another 15 wins & 42 nominations.,0,0,0,1,0,0,0,0,15,42
210,9 wins & 4 nominations.,0,0,0,0,0,0,0,0,9,4
211,8 wins & 21 nominations.,0,0,0,0,0,0,0,0,8,21
212,nominated for 1 bafta film award. another 2 wins & 4 nominations.,1,0,0,0,0,0,0,0,2,4
213,nominated for 1 golden globe. another 21 wins & 59 nominations.,0,0,0,0,0,0,0,1,21,59
214,nominated for 1 golden globe. another 16 wins & 26 nominations.,0,0,0,0,0,0,0,1,16,26
215,2 wins & 18 nominations.,0,0,0,0,0,0,0,0,2,18
216,16 nominations.,0,0,0,0,0,0,0,0,0,16
217,nominated for 2 oscars. another 48 wins & 92 nominations.,0,0,0,2,0,0,0,0,48,92
218,nominated for 1 oscar. another 3 wins & 45 nominations.,0,0,0,1,0,0,0,0,3,45
219,won 1 primetime emmy. another 1 win & 5 nominations.,0,0,0,0,1,0,0,0,1,5
220,9 wins & 3 nominations.,0,0,0,0,0,0,0,0,9,3
221,won 3 oscars. another 234 wins & 312 nominations.,0,0,3,0,0,0,0,0,234,312
222,nominated for 2 primetime emmys. another 1 win & 2 nominations.,0,0,0,0,0,2,0,0,1,2
223,10 wins & 23 nominations.,0,0,0,0,0,0,0,0,10,23
224,nominated for 2 primetime emmys. another 4 wins & 15 nominations.,0,0,0,0,0,2,0,0,4,15
225,nominated for 1 oscar. another 12 wins & 71 nominations.,0,0,0,1,0,0,0,0,12,71
226,won 1 golden globe. another 4 wins & 16 nominations.,0,0,0,0,0,0,1,0,4,16
227,9 wins & 13 nominations.,0,0,0,0,0,0,0,0,9,13
228,nominated for 3 oscars. another 11 wins & 69 nominations.,0,0,0,3,0,0,0,0,11,69
229,nominated for 3 primetime emmys. another 2 wins & 48 nominations.,0,0,0,0,0,3,0,0,2,48
230,8 wins & 11 nominations.,0,0,0,0,0,0,0,0,8,11
231,1 win & 28 nominations.,0,0,0,0,0,0,0,0,1,28
232,13 wins & 11 nominations.,0,0,0,0,0,0,0,0,13,11
233,won 1 oscar. another 13 wins & 53 nominations.,0,0,1,0,0,0,0,0,13,53
234,19 wins & 21 nominations.,0,0,0,0,0,0,0,0,19,21
235,nominated for 1 golden globe. another 3 wins & 27 nominations.,0,0,0,0,0,0,0,1,3,27
236,7 wins & 4 nominations.,0,0,0,0,0,0,0,0,7,4
237,nominated for 1 oscar. another 64 wins & 169 nominations.,0,0,0,1,0,0,0,0,64,169
238,won 4 oscars. another 122 wins & 213 nominations.,0,0,4,0,0,0,0,0,122,213
239,won 2 oscars. another 72 wins & 57 nominations.,0,0,2,0,0,0,0,0,72,57
240,3 wins & 5 nominations.,0,0,0,0,0,0,0,0,3,5
241,nominated for 1 oscar. another 6 wins & 45 nominations.,0,0,0,1,0,0,0,0,6,45
242,11 nominations.,0,0,0,0,0,0,0,0,0,11
243,nominated for 1 primetime emmy. another 1 win & 5 nominations.,0,0,0,0,0,1,0,0,1,5
244,7 wins & 18 nominations.,0,0,0,0,0,0,0,0,7,18
245,1 win & 19 nominations.,0,0,0,0,0,0,0,0,1,19
246,23 wins & 27 nominations.,0,0,0,0,0,0,0,0,23,27
247,nominated for 2 primetime emmys. another 2 wins & 21 nominations.,0,0,0,0,0,2,0,0,2,21
248,nominated for 6 golden globes. another 43 wins & 92 nominations.,0,0,0,0,0,0,0,6,43,92
249,4 wins & 3 nominations.,0,0,0,0,0,0,0,0,4,3
250,won 3 primetime emmys. another 2 wins & 17 nominations.,0,0,0,0,3,0,0,0,2,17
251,14 wins & 26 nominations.,0,0,0,0,0,0,0,0,14,26
252,2 wins & 9 nominations.,0,0,0,0,0,0,0,0,2,9
253,4 wins & 8 nominations.,0,0,0,0,0,0,0,0,4,8
254,nominated for 1 golden globe. another 12 wins & 35 nominations.,0,0,0,0,0,0,0,1,12,35
255,7 wins & 3 nominations.,0,0,0,0,0,0,0,0,7,3
256,10 wins & 38 nominations.,0,0,0,0,0,0,0,0,10,38
257,won 2 golden globes. another 7 wins & 54 nominations.,0,0,0,0,0,0,2,0,7,54
258,7 wins & 2 nominations.,0,0,0,0,0,0,0,0,7,2
259,4 wins & 2 nominations.,0,0,0,0,0,0,0,0,4,2
260,nominated for 1 primetime emmy. another 1 win & 6 nominations.,0,0,0,0,0,1,0,0,1,6
261,nominated for 2 golden globes. another 10 wins & 46 nominations.,0,0,0,0,0,0,0,2,10,46
262,13 wins & 8 nominations.,0,0,0,0,0,0,0,0,13,8
263,2 wins & 15 nominations.,0,0,0,0,0,0,0,0,2,15
264,10 wins & 2 nominations.,0,0,0,0,0,0,0,0,10,2
265,nominated for 1 primetime emmy. another 30 nominations.,0,0,0,0,0,1,0,0,0,30
266,nominated for 1 primetime emmy. another 2 wins & 4 nominations.,0,0,0,0,0,1,0,0,2,4
267,18 wins & 5 nominations.,0,0,0,0,0,0,0,0,18,5
268,nominated for 4 primetime emmys. another 12 nominations.,0,0,0,0,0,4,0,0,0,12
269,won 1 primetime emmy. another 1 win & 4 nominations.,0,0,0,0,1,0,0,0,1,4
270,20 wins & 32 nominations.,0,0,0,0,0,0,0,0,20,32
271,nominated for 1 oscar. another 38 wins & 74 nominations.,0,0,0,1,0,0,0,0,38,74
272,19 wins & 10 nominations.,0,0,0,0,0,0,0,0,19,10
273,15 wins & 27 nominations.,0,0,0,0,0,0,0,0,15,27
274,6 wins & 15 nominations.,0,0,0,0,0,0,0,0,6,15
275,6 wins & 19 nominations.,0,0,0,0,0,0,0,0,6,19
276,won 5 primetime emmys. another 7 wins & 23 nominations.,0,0,0,0,5,0,0,0,7,23
277,6 wins & 12 nominations.,0,0,0,0,0,0,0,0,6,12
278,12 wins & 10 nominations.,0,0,0,0,0,0,0,0,12,10
279,5 wins & 15 nominations.,0,0,0,0,0,0,0,0,5,15
280,won 1 oscar. another 2 wins & 1 nomination.,0,0,1,0,0,0,0,0,2,1
281,4 wins & 14 nominations.,0,0,0,0,0,0,0,0,4,14
282,20 wins & 19 nominations.,0,0,0,0,0,0,0,0,20,19
283,3 wins & 12 nominations.,0,0,0,0,0,0,0,0,3,12
284,3 wins & 17 nominations.,0,0,0,0,0,0,0,0,3,17
285,won 2 primetime emmys. another 3 wins & 5 nominations.,0,0,0,0,2,0,0,0,3,5
286,won 1 primetime emmy. another 1 nomination.,0,0,0,0,1,0,0,0,0,1
287,8 wins & 2 nominations.,0,0,0,0,0,0,0,0,8,2
288,3 wins & 8 nominations.,0,0,0,0,0,0,0,0,3,8
289,8 wins.,0,0,0,0,0,0,0,0,8,0
290,15 wins & 30 nominations.,0,0,0,0,0,0,0,0,15,30
291,won 1 primetime emmy. another 1 win & 21 nominations.,0,0,0,0,1,0,0,0,1,21
292,nominated for 1 golden globe. another 8 wins & 16 nominations.,0,0,0,0,0,0,0,1,8,16
293,won 1 primetime emmy. another 2 wins.,0,0,0,0,1,0,0,0,2,0
294,6 wins & 3 nominations.,0,0,0,0,0,0,0,0,6,3
295,5 wins & 3 nominations.,0,0,0,0,0,0,0,0,5,3
296,nominated for 1 oscar. another 4 wins & 9 nominations.,0,0,0,1,0,0,0,0,4,9
297,won 2 primetime emmys. another 3 nominations.,0,0,0,0,2,0,0,0,0,3
298,9 wins & 1 nomination.,0,0,0,0,0,0,0,0,9,1
299,9 wins & 7 nominations.,0,0,0,0,0,0,0,0,9,7
300,8 wins & 3 nominations.,0,0,0,0,0,0,0,0,8,3
301,6 wins & 25 nominations.,0,0,0,0,0,0,0,0,6,25
302,15 wins & 20 nominations.,0,0,0,0,0,0,0,0,15,20
303,won 2 primetime emmys. another 7 wins & 23 nominations.,0,0,0,0,2,0,0,0,7,23
304,6 wins.,0,0,0,0,0,0,0,0,6,0
305,9 wins & 5 nominations.,0,0,0,0,0,0,0,0,9,5
306,6 wins & 7 nominations.,0,0,0,0,0,0,0,0,6,7
307,nominated for 4 primetime emmys. another 18 wins & 40 nominations.,0,0,0,0,0,4,0,0,18,40
308,won 2 golden globes. another 3 wins & 3 nominations.,0,0,0,0,0,0,2,0,3,3
309,nominated for 1 primetime emmy. another 4 nominations.,0,0,0,0,0,1,0,0,0,4
310,won 1 golden globe. another 12 wins & 39 nominations.,0,0,0,0,0,0,1,0,12,39
311,15 wins & 6 nominations.,0,0,0,0,0,0,0,0,15,6
312,8 wins & 15 nominations.,0,0,0,0,0,0,0,0,8,15
313,nominated for 5 oscars. another 6 wins & 1 nomination.,0,0,0,5,0,0,0,0,6,1
314,won 7 primetime emmys. another 25 wins & 84 nominations.,0,0,0,0,7,0,0,0,25,84
315,nominated for 2 oscars. another 14 wins & 56 nominations.,0,0,0,2,0,0,0,0,14,56
316,6 wins & 53 nominations.,0,0,0,0,0,0,0,0,6,53
317,nominated for 1 bafta film award. another 2 wins & 28 nominations.,1,0,0,0,0,0,0,0,2,28
318,nominated for 1 oscar. another 8 wins & 28 nominations.,0,0,0,1,0,0,0,0,8,28
319,17 wins & 32 nominations.,0,0,0,0,0,0,0,0,17,32
320,17 wins & 28 nominations.,0,0,0,0,0,0,0,0,17,28
321,nominated for 1 golden globe. another 5 wins & 39 nominations.,0,0,0,0,0,0,0,1,5,39
322,won 1 oscar. another 91 wins & 95 nominations.,0,0,1,0,0,0,0,0,91,95
323,5 wins & 10 nominations.,0,0,0,0,0,0,0,0,5,10
324,10 nominations.,0,0,0,0,0,0,0,0,0,10
325,nominated for 1 bafta film award. another 1 win & 18 nominations.,1,0,0,0,0,0,0,0,1,18
326,nominated for 1 oscar. another 9 wins & 18 nominations.,0,0,0,1,0,0,0,0,9,18
327,nominated for 3 oscars. another 32 wins & 141 nominations.,0,0,0,3,0,0,0,0,32,141
328,5 wins & 41 nominations.,0,0,0,0,0,0,0,0,5,41
329,7 wins & 14 nominations.,0,0,0,0,0,0,0,0,7,14
330,nominated for 1 golden globe. another 1 win & 44 nominations.,0,0,0,0,0,0,0,1,1,44
331,nominated for 5 oscars. another 47 wins & 106 nominations.,0,0,0,5,0,0,0,0,47,106
332,won 1 golden globe. another 2 wins & 17 nominations.,0,0,0,0,0,0,1,0,2,17
333,6 wins & 33 nominations.,0,0,0,0,0,0,0,0,6,33
334,won 9 primetime emmys. another 17 wins & 17 nominations.,0,0,0,0,9,0,0,0,17,17
335,nominated for 1 oscar. another 2 wins & 49 nominations.,0,0,0,1,0,0,0,0,2,49
336,nominated for 1 golden globe. another 10 wins & 53 nominations.,0,0,0,0,0,0,0,1,10,53
337,8 wins & 22 nominations.,0,0,0,0,0,0,0,0,8,22
338,nominated for 5 primetime emmys. another 12 nominations.,0,0,0,0,0,5,0,0,0,12
339,nominated for 7 primetime emmys. another 1 win & 26 nominations.,0,0,0,0,0,7,0,0,1,26
340,nominated for 5 primetime emmys. another 2 wins & 11 nominations.,0,0,0,0,0,5,0,0,2,11
341,nominated for 11 primetime emmys. another 7 wins & 26 nominations.,0,0,0,0,0,11,0,0,7,26
342,nominated for 3 golden globes. another 9 wins & 50 nominations.,0,0,0,0,0,0,0,3,9,50
343,5 wins & 26 nominations.,0,0,0,0,0,0,0,0,5,26
344,nominated for 1 golden globe. another 1 win & 10 nominations.,0,0,0,0,0,0,0,1,1,10
